,,refrigerator,5.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,clotheswasher,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,gas_dryer,0.64,17.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,gas_range,0.00,8.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,gas_mels,24.20,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IECC_adj,10.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,General,4.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Domestic Hot Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20
,,Water Heater,0.00,43.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kBtu],Source Natural Gas [kBtu],Source Gasoline [kBtu],Source Diesel [kBtu],Source Coal [kBtu],Source Fuel Oil No 1 [kBtu],Source Fuel Oil No 2 [kBtu],Source Propane [kBtu],Source Other Fuel 1 [kBtu],Source Other Fuel 2 [kBtu],Source District Cooling [kBtu],Source District Heating [kBtu]
,Heating,0.00,4245.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,335.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,163.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2286.06,522.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,530.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,667.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,3315.16,5435.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.15,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.11,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:EnergyRecoveryVentilator

,,User-Specified Supply Air Flow Rate [ft3/min],User-Specified Exhaust Air Flow Rate [ft3/min]
,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_TOPFLOOR,44.99,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [ft3/min],Design Size Maximum Flow Rate [ft3/min]
,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,575.24
,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,444.55
,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,498.65
,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,,547.08
,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,,444.56
,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,,498.61
,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,496.73
,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,308.18
,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,386.18
,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,,459.14
,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,,302.56
,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,,358.74
,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,,500.62
,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,,327.59
,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,,391.98
,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,,477.49
,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,,326.54
,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,,366.78
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,User-Specified Nominal Supply Air Flow Rate [ft3/min]
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_TOPFLOOR,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [ft3/min]
,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,575.24
,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,444.55
,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,498.65
,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,547.08
,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,444.56
,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,498.61
,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,496.73
,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,308.18
,ZONEDIRECTAIR_UNIT3_FRONTROW_MIDDLEFLOOR,386.18
,ZONEDIRECTAIR_UNIT1_BACKROW_MIDDLEFLOOR,459.14
,ZONEDIRECTAIR_UNIT2_BACKROW_MIDDLEFLOOR,302.56
,ZONEDIRECTAIR_UNIT3_BACKROW_MIDDLEFLOOR,358.74
,ZONEDIRECTAIR_UNIT3_BACKROW_TOPFLOOR,366.78
,ZONEDIRECTAIR_UNIT3_FRONTROW_TOPFLOOR,391.98
,ZONEDIRECTAIR_UNIT1_FRONTROW_TOPFLOOR,500.62
,ZONEDIRECTAIR_UNIT2_BACKROW_TOPFLOOR,326.54
,ZONEDIRECTAIR_UNIT2_FRONTROW_TOPFLOOR,327.59
,ZONEDIRECTAIR_UNIT1_BACKROW_TOPFLOOR,477.49
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],Sum of Air Terminal Maximum Flow Rates [ft3/min],Adjusted Heating Design Air Flow Rate [ft3/min],Adjusted Cooling Design Air Flow Rate [ft3/min],Adjusted Main Design Air Flow Rate [ft3/min],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [ft3/min]
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,575.24,575.24,575.24,575.24,575.24,575.24,1.00,1.00,575.24
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,444.55,444.55,444.55,444.55,444.55,444.55,1.00,1.00,444.55
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,498.65,498.65,498.65,498.65,498.65,498.65,1.00,1.00,498.65
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,547.08,547.08,547.08,547.08,547.08,547.08,1.00,1.00,547.08
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,444.56,444.56,444.56,444.56,444.56,444.56,1.00,1.00,444.56
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,498.61,498.61,498.61,498.61,498.61,498.61,1.00,1.00,498.61
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,496.73,496.73,496.73,496.73,496.73,496.73,1.00,1.00,496.73
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,308.18,308.18,308.18,308.18,308.18,308.18,1.00,1.00,308.18
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,386.18,386.18,386.18,386.18,386.18,386.18,1.00,1.00,386.18
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,459.14,459.14,459.14,459.14,459.14,459.14,1.00,1.00,459.14
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,302.56,302.56,302.56,302.56,302.56,302.56,1.00,1.00,302.56
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,358.74,358.74,358.74,358.74,358.74,358.74,1.00,1.00,358.74
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,500.62,500.62,500.62,500.62,500.62,500.62,1.00,1.00,500.62
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,327.59,327.59,327.59,327.59,327.59,327.59,1.00,1.00,327.59
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,391.98,391.98,391.98,391.98,391.98,391.98,1.00,1.00,391.98
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,477.49,477.49,477.49,477.49,477.49,477.49,1.00,1.00,477.49
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,326.54,326.54,326.54,326.54,326.54,326.54,1.00,1.00,326.54
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,366.78,366.78,366.78,366.78,366.78,366.78,1.00,1.00,366.78
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Total Cooling Capacity [ton],Design Size Gross Rated Sensible Heat Ratio
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,575.24,1.28,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,444.55,1.05,0.800779
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,498.65,1.13,0.800805
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,547.08,1.22,0.800655
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,444.56,1.05,0.800657
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,498.61,1.17,0.800163
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,496.73,1.10,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,308.18,0.684640,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,386.18,0.857923,0.800655
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,459.14,1.02,0.800655
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,302.56,0.672171,0.800655
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,358.74,0.796968,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,500.62,1.11,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,327.59,0.727762,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,391.98,0.870820,0.800655
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,477.49,1.06,0.800655
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,326.54,0.725442,0.800655
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,366.78,0.814824,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC:UnitaryHeatCool

,,Supply Air Flow Rate [ft3/min],Supply Air Flow Rate During Heating Operation [ft3/min],Supply Air Flow Rate During Cooling Operation [ft3/min],Nominal Heating Capacity [Btu/h],Nominal Cooling Capacity [ton],Fraction of Supply Air Flow That Goes Through the Controlling Zone
,ACANDF_UNIT1_FRONTROW_BOTTOMFLOOR,575.24,575.24,575.24,31660.75,1.28,1.00
,ACANDF_UNIT2_FRONTROW_BOTTOMFLOOR,444.55,444.55,444.55,28746.01,1.05,1.00
,ACANDF_UNIT3_FRONTROW_BOTTOMFLOOR,498.65,498.65,498.65,31667.65,1.13,1.00
,ACANDF_UNIT1_BACKROW_BOTTOMFLOOR,547.08,547.08,547.08,31663.64,1.22,1.00
,ACANDF_UNIT2_BACKROW_BOTTOMFLOOR,444.56,444.56,444.56,28746.31,1.05,1.00
,ACANDF_UNIT3_BACKROW_BOTTOMFLOOR,498.61,498.61,498.61,31665.48,1.17,1.00
,ACANDF_UNIT1_FRONTROW_MIDDLEFLOOR,496.73,496.73,496.73,13619.50,1.10,1.00
,ACANDF_UNIT2_FRONTROW_MIDDLEFLOOR,308.18,308.18,308.18,10590.42,0.684640,1.00
,ACANDF_UNIT3_FRONTROW_MIDDLEFLOOR,386.18,386.18,386.18,13620.24,0.857923,1.00
,ACANDF_UNIT1_BACKROW_MIDDLEFLOOR,459.14,459.14,459.14,13621.07,1.02,1.00
,ACANDF_UNIT2_BACKROW_MIDDLEFLOOR,302.56,302.56,302.56,10589.64,0.672171,1.00
,ACANDF_UNIT3_BACKROW_MIDDLEFLOOR,358.74,358.74,358.74,13617.11,0.796968,1.00
,ACANDF_UNIT1_FRONTROW_TOPFLOOR,500.62,500.62,500.62,16141.57,1.11,1.00
,ACANDF_UNIT2_FRONTROW_TOPFLOOR,327.59,327.59,327.59,13075.36,0.727762,1.00
,ACANDF_UNIT3_FRONTROW_TOPFLOOR,391.98,391.98,391.98,16137.84,0.870820,1.00
,ACANDF_UNIT1_BACKROW_TOPFLOOR,477.49,477.49,477.49,16140.99,1.06,1.00
,ACANDF_UNIT2_BACKROW_TOPFLOOR,326.54,326.54,326.54,13073.10,0.725442,1.00
,ACANDF_UNIT3_BACKROW_TOPFLOOR,366.78,366.78,366.78,16133.86,0.814824,1.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Fuel

,,Design Size Nominal Capacity [Btu/h]
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,31660.75
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,28746.01
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,31667.65
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,31663.64
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,28746.31
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,31665.48
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,13619.50
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,10590.42
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,13620.24
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,13621.07
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,10589.64
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,13617.11
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,16141.57
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,13075.36
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,16137.84
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_TOPFLOOR,16140.99
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_TOPFLOOR,13073.10
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_TOPFLOOR,16133.86
