Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2024.05.14 12:31
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ7+elecres+crawlspace+IECC_2021
Environment:,ANNUAL ** Quebec.City-Ste.Foy-Univ.Laval QC CAN Custom-713920 WMO#=713920

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,170.27,0.39,0.77
,Net Site Energy,170.27,0.39,0.77
,Total Source Energy,539.25,1.22,2.44
,Net Source Energy,539.25,1.22,2.44


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,441.64
,Net Conditioned Building Area,220.82
,Unconditioned Building Area,220.82


End Uses

,,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,134.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,21.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,170.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Gasoline [kWh],Diesel [kWh],Coal [kWh],Fuel Oil No 1 [kWh],Fuel Oil No 2 [kWh],Propane [kWh],Other Fuel 1 [kWh],Other Fuel 2 [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,,Zone Name,North Axis {deg},Origin X-Coordinate {m},Origin Y-Coordinate {m},Origin Z-Coordinate {m},Centroid X-Coordinate {m},Centroid Y-Coordinate {m},Centroid Z-Coordinate {m},Type,Zone Multiplier,Zone List Multiplier,Minimum X {m},Maximum X {m},Minimum Y {m},Maximum Y {m},Minimum Z {m},Maximum Z {m},Ceiling Height {m},Volume {m3},Zone Inside Convection Algorithm {Simple-Detailed-CeilingDiffuser-TrombeWall},Zone Outside Convection Algorithm {Simple-Detailed-Tarp-MoWitt-DOE-2-BLAST},Floor Area {m2},Exterior Gross Wall Area {m2},Exterior Net Wall Area {m2},Exterior Window Area {m2},Number of Surfaces,Number of SubSurfaces,Number of Shading SubSurfaces,Part of Total Building Area
,1,LIVING_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,2.74,1,1,1,0.00,12.13,0.00,9.10,0.15,5.34,3.89,482.75,TARP,DOE-2,220.82,220.10,183.37,33.01,11,9,4,Yes
,2,ATTIC_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,5.69,1,1,1,0.00,12.13,0.00,9.10,5.34,6.70,0.68,75.31,TARP,DOE-2,110.41,12.41,12.41,0.00,5,0,0,Yes
,3,CRAWLSPACE_UNIT1,0.0,0.00,0.00,0.00,6.07,4.55,-0.15,1,1,1,0.00,12.13,0.00,9.10,-0.46,0.15,0.61,67.32,TARP,DOE-2,110.41,6.47,6.47,0.00,10,0,0,Yes


Zone Internal Gains Nominal

,,Zone Name,Floor Area {m2},# Occupants,Area per Occupant {m2/person},Occupant per Area {person/m2},Interior Lighting {W/m2},Electric Load {W/m2},Gas Load {W/m2},Other Load {W/m2},Hot Water Eq {W/m2},Steam Equipment {W/m2},Sum Loads per Area {W/m2},Outdoor Controlled Baseboard Heat
,1,LIVING_UNIT1,220.82,3.0,73.606,1.359E-002,1.531,7.041,0.000,0.000,0.000,0.000,8.572,No
,2,ATTIC_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No
,3,CRAWLSPACE_UNIT1,110.41,0.0,N/A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,No


People Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Number of People {},People/Floor Area {person/m2},Floor Area per person {m2/person},Fraction Radiant,Fraction Convected,Sensible Fraction Calculation,Activity level,ASHRAE 55 Warnings,Carbon Dioxide Generation Rate,Nominal Minimum Number of People,Nominal Maximum Number of People
,1,PEOPLE_UNIT1,OCCUPANCY,LIVING_UNIT1,220.82,3.0,3.0,1.359E-002,73.606,0.000,1.000,AutoCalculate,ACTIVITY_SCH,No,3.8200E-008,1,3


Lights Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Lighting Level {W},Lights/Floor Area {W/m2},Lights per person {W/person},Fraction Return Air,Fraction Radiant,Fraction Short Wave,Fraction Convected,Fraction Replaceable,End-Use Category,Nominal Minimum Lighting Level {W},Nominal Maximum Lighting Level {W}
,1,LIVING HARDWIRED LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,232.336,1.052,77.445,0.000,0.600,0.200,0.200,0.000,General,15.973,232.336
,2,LIVING PLUG-IN LIGHTING1,INTERIORLIGHTINGHE,LIVING_UNIT1,220.82,3.0,105.654,0.478,35.218,0.000,0.600,0.200,0.200,0.000,General,7.264,105.654


ElectricEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Equipment Level {W},Equipment/Floor Area {W/m2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {W},Nominal Maximum Equipment Level {W}
,1,DISHWASHER1,DISHWASHER,LIVING_UNIT1,220.82,3.0,65.699,0.298,21.900,0.150,0.600,0.250,0.000,dishwasher,0.000,58.932
,2,REFRIGERATOR1,REFRIGERATOR,LIVING_UNIT1,220.82,3.0,91.058,0.412,30.353,0.000,1.000,0.000,0.000,refrigerator,66.598,91.058
,3,CLOTHESWASHER1,CLOTHESWASHER,LIVING_UNIT1,220.82,3.0,28.478,0.129,9.493,0.000,0.800,0.200,0.000,clotheswasher,0.000,25.545
,4,ELECTRIC_DRYER1,CLOTHESDRYER,LIVING_UNIT1,220.82,3.0,213.065,0.965,71.022,5.000E-002,0.150,0.800,0.000,electric_dryer,0.000,213.065
,5,ELECTRIC_RANGE1,COOKINGRANGE,LIVING_UNIT1,220.82,3.0,248.154,1.124,82.718,0.300,0.400,0.300,0.000,electric_range,5.843,248.154
,6,TELEVISION1,INTERIORLIGHTING,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,7,ELECTRIC_MELS1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,567.464,2.570,189.155,6.000E-002,0.690,0.250,0.000,electric_mels,293.392,567.464
,8,IECC_ADJ1,MISCPLUGLOAD,LIVING_UNIT1,220.82,3.0,340.847,1.544,113.616,6.244E-002,0.412,0.251,0.275,IECC_adj,176.226,340.847


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {hours},ThermalConductance {w/m2-K},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,7,1.000,0.2829,0.900,0.900,0.700,0.700,MediumSmooth
,2,INTERIORFURNISHINGS,2,1,5,1.000,0.8000,0.900,0.900,0.700,0.700,MediumSmooth
,3,EXTERIOR FLOOR,4,3,7,1.000,0.1585,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR FLOOR,5,2,2,1.000,1.702,0.900,0.900,0.700,0.700,Rough
,5,INTERIOR CEILING,6,2,7,1.000,0.1373,0.900,0.900,0.700,0.700,Rough
,6,ATTIC FLOOR,7,2,7,1.000,0.1373,0.900,0.900,0.700,0.700,MediumSmooth
,7,EXTERIOR ROOF,11,2,2,1.000,5.358,0.900,0.900,0.750,0.700,MediumRough
,8,EXTERIOR DOOR,14,1,3,1.000,1.704,0.900,0.900,0.700,0.700,Smooth
,9,GABLE_END,16,5,4,1.000,2.431,0.900,0.900,0.700,0.700,MediumSmooth
,10,CRAWL WALL,24,1,3,1.000,12.93,0.900,0.900,0.700,0.700,Rough
,11,iz-EXTERIOR FLOOR,25,3,7,1.000,0.1585,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {m},Conductivity {w/m-K},Density {kg/m3},Specific Heat {J/kg-K},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0030,0.086,400.000,878.640,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.0311,0.035,20.100,1465.415,0.8807
,3,OSB_7/16IN,0.0111,0.116,544.627,1213.360,0.9555E-01
,4,WALL_CONSOL_LAYER,0.1397,0.057,120.801,1036.258,2.444
,5,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,6,STD WOOD 6INCH,0.1500,0.120,540.000,1210.000,1.250
,7,FLOOR_CONSOL_LAYER,0.2858,0.050,55.074,916.931,5.720
,8,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,9,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,10,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,11,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,12,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,13,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,14,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,15,CEIL_CONSOL_LAYER,0.4445,0.062,41.929,776.251,7.202
,16,ASPHALT_SHINGLE,0.0063,0.082,1121.292,1255.200,0.7745E-01
,17,OSB_1/2IN,0.0127,0.116,544.627,1213.360,0.1092
,18,DOOR_CONST,0.0423,0.072,512.640,767.580,0.5870
,19,CEMENT_STUCCO,0.0191,0.721,1865.580,878.640,0.2642E-01
,20,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,21,OSB_5/8IN,0.0159,0.116,544.627,1213.360,0.1365
,22,DRYWALL_1/2IN,0.0127,0.160,800.923,1087.840,0.7933E-01
,23,CONCRETE_4IN,0.1015,1.312,2242.800,465.200,0.7736E-01
,24,CARPET_N_PAD,0.0254,0.060,32.037,836.800,0.4224
,25,PLYWOOD_3/4IN,0.0191,0.115,544.680,674.540,0.1650
,26,FLOOR_CONSOL_LAYER,0.2858,0.050,55.074,916.931,5.720


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,7,-0.48524825E-13,-0.15552876E-13,-0.27961453E-12,0.68050686E-15
,2,6,0.29877193E-08,0.27636409E-10,0.13406700E-07,-0.32204622E-12
,3,5,-0.12260680E-04,0.22120929E-06,-0.79904438E-04,0.81274456E-08
,4,4,0.41107533E-02,0.11969800E-03,0.31390265E-01,-0.33286183E-04
,5,3,-0.12218315,0.53280074E-02,-0.92858957,0.10965527E-01
,6,2,0.86679861,0.27098762E-01,4.9428042,-0.27525931
,7,1,-1.9773016,0.17266759E-01,-8.3316389,1.0860227
,8,0,1.2790325,0.63137015E-03,4.3365587,
,9,5,-0.83419649E-03,0.17148036E-05,-0.83419649E-03,0.10432035E-03
,10,4,0.51893316E-01,0.48417073E-03,0.51893316E-01,-0.69992825E-02
,11,3,-0.79575737,0.11043663E-01,-0.79575737,0.12203902
,12,2,3.8619522,0.39519684E-01,3.8619522,-0.70742610
,13,1,-6.6846261,0.23103239E-01,-6.6846261,1.4981178
,14,0,3.6427035,0.11789001E-02,3.6427035,
,15,7,-0.74133138E-16,-0.93885370E-15,-0.88598207E-08,0.57143439E-16
,16,6,0.32470217E-06,0.29133869E-08,0.43359785E-05,-0.11756193E-06
,17,5,-0.12477476E-03,0.34637068E-05,-0.54866742E-03,0.50611528E-04
,18,4,0.90923950E-02,0.31648605E-03,0.24107485E-01,-0.44678387E-02
,19,3,-0.14720579,0.42871157E-02,-0.35446832,0.93461115E-01
,20,2,0.72535372,0.10585072E-01,1.6988153,-0.60139067
,21,1,-1.2899509,0.42924368E-02,-2.8630788,1.3886896
,22,0,0.72244062,0.12103389E-03,1.5147743,
,23,2,0.28787554E-04,0.26407442E-05,0.61693273E-05,-0.66972713E-24
,24,1,-1.4684893,0.26485618,-0.13499918,0.98739767E-04
,25,0,3.1706966,1.4373772,1.8372290,
,26,7,0.13857083E-17,-0.42953176E-16,-0.89105346E-09,-0.26194270E-17
,27,6,0.27126566E-08,0.13290062E-09,0.31311144E-04,-0.16948519E-08
,28,5,-0.16497041E-04,0.66218658E-06,-0.44020605E-02,0.10325164E-04
,29,4,0.20674534E-02,0.13128153E-03,0.15284329,-0.13998558E-02
,30,3,-0.59274494E-01,0.29858718E-02,-1.5835563,0.46203237E-01
,31,2,0.44168379,0.10898314E-01,5.7919343,-0.42915713
,32,1,-0.97315877,0.61808871E-02,-8.1448366,1.2353809
,33,0,0.60915798,0.26244209E-03,3.8084455,
,34,7,-0.89105346E-09,-0.42953176E-16,0.13857083E-17,-0.26194270E-17
,35,6,0.31311144E-04,0.13290062E-09,0.27126566E-08,-0.16948519E-08
,36,5,-0.44020605E-02,0.66218658E-06,-0.16497041E-04,0.10325164E-04
,37,4,0.15284329,0.13128153E-03,0.20674534E-02,-0.13998558E-02
,38,3,-1.5835563,0.29858718E-02,-0.59274494E-01,0.46203237E-01
,39,2,5.7919343,0.10898314E-01,0.44168379,-0.42915713
,40,1,-8.1448366,0.61808871E-02,-0.97315877,1.2353809
,41,0,3.8084455,0.26244209E-03,0.60915798,
,42,2,0.94467954E-05,0.31317736E-05,0.79225250E-05,-0.26749844E-22
,43,1,-1.8383944,0.81257669,-1.3462729,0.15535189E-04
,44,0,7.1959782,4.5450135,6.7038583,
,45,3,-0.10160624E-06,0.73584215E-07,-0.10160624E-06,0.20723692E-14
,46,2,0.14353166E-01,0.84320589E-02,0.14353166E-01,-0.11383510E-05
,47,1,-1.4926951,0.74131348,-1.4926951,0.38067385E-01
,48,0,3.1170731,0.88898549,3.1170731,
,49,4,0.44987769E-14,0.98631654E-16,0.14264981E-14,0.0000000
,50,3,-0.13187245E-06,0.34886199E-07,-0.40679758E-07,0.32607943E-14
,51,2,0.41165881E-01,0.61555217E-02,0.16588552E-01,-0.45157314E-07
,52,1,-9.8165612,1.0256427,-2.7651724,0.81558044E-02
,53,0,12.186772,1.3795784,5.1599606,
,54,3,-0.46827681E-07,0.33926964E-07,-0.46827681E-07,0.31588510E-17
,55,2,0.48718703E-01,0.28752432E-01,0.48718703E-01,-0.82411185E-07
,56,1,-9.4326048,5.0165743,-9.4326048,0.20319897E-01
,57,0,22.048484,7.6192711,22.048484,
,58,7,-0.88598207E-08,-0.93885370E-15,-0.74133138E-16,0.57143439E-16
,59,6,0.43359785E-05,0.29133869E-08,0.32470217E-06,-0.11756193E-06
,60,5,-0.54866742E-03,0.34637068E-05,-0.12477476E-03,0.50611528E-04
,61,4,0.24107485E-01,0.31648605E-03,0.90923950E-02,-0.44678387E-02
,62,3,-0.35446832,0.42871157E-02,-0.14720579,0.93461115E-01
,63,2,1.6988153,0.10585072E-01,0.72535372,-0.60139067
,64,1,-2.8630788,0.42924368E-02,-1.2899509,1.3886896
,65,0,1.5147743,0.12103389E-03,0.72244062,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {W/m2-K},SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,1.704,0.335,0.248,0.883
,2,INTERIOR WINDOW,13,1,VerySmooth,1.704,0.335,0.248,0.883
,3,WINDOW_W_BLINDS,18,2,VerySmooth,1.704,0.309,4.646E-002,0.133
,4,TDD DOME,22,1,VerySmooth,6.082,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,6.115,0.906,0.900,0.900


WindowMaterial:Glazing

,,Material Name,Optical Data Type,Spectral Data Set Name,Thickness {m},Solar Transmittance,Front Solar Reflectance,Back Solar Reflectance,Visible Transmittance,Front Visible Reflectance,Back Visible Reflectance,Infrared Transmittance,Front Thermal Emissivity,Back Thermal Emissivity,Conductivity {W/m-K},Dirt Factor,Solar Diffusing
,1,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,2,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,3,GLASS,SpectralAverage,,4.18405E-002,0.24698,0.55113,0.55113,0.88000,0.11900,0.11900,0.00000,0.84000,0.84000,0.10138,1.00000,No
,4,CLEAR ACRYLIC PLASTIC,SpectralAverage,,3.00000E-003,0.92000,5.00000E-002,5.00000E-002,0.92000,5.00000E-002,5.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No
,5,DIFFUSING ACRYLIC PLASTIC,SpectralAverage,,2.20000E-003,0.90000,8.00000E-002,8.00000E-002,0.90000,8.00000E-002,8.00000E-002,0.00000,0.90000,0.90000,0.90000,1.00000,No


WindowMaterial:Blind

,,Material Name,Slat Width {m},Slat Separation {m},Slat Thickness {m},Slat Angle {deg},Slat Beam Solar Transmittance,Slat Beam Solar Front Reflectance,Blind To Glass Distance {m}
,1,INT_BLIND,2.5000E-002,1.8750E-002,1.0000E-003,45.000,0.000,0.500,5.000E-002


Shadowing/Sun Position Calculations Annual Simulations

,,Shading Calculation Method,Shading Calculation Update Frequency Method,Shading Calculation Update Frequency {days},Maximum Figures in Shadow Overlap Calculations {},Polygon Clipping Algorithm,Pixel Counting Resolution,Sky Diffuse Modeling Algorithm,Output External Shading Calculation Results,Disable Self-Shading Within Shading Zone Groups,Disable Self-Shading From Shading Zone Groups to Other Zones
,1,PolygonClipping,Periodic,20,15000,SutherlandHodgman,512,SimpleSkyDiffuseModeling,No,No,No


Heat Pump Water Heater Information

,,Type,Name,Volume {m3},Maximum Capacity {W},Standard Rated Recovery Efficiency,Standard Rated Energy Factor,"DX Coil Total Cooling Rate {W,HPWH Only}"
,1,WaterHeater:HeatPump:WrappedCondenser,WATER HEATER_UNIT1,0.1968,1300.0,0.000,0.0000,785,


Water Heater Stratified Node Information

,,Node Number,Height {m},Volume {m3},Maximum Capacity {W},Off-Cycle UA {W/K},On-Cycle UA {W/K},Number Of Inlets,Number Of Outlets
,1,1,1.5940,0.1968,0.000,1.5403,1.5403,1,1


ZoneVentilation Airflow Stats Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {m2},# Zone Occupants,Design Volume Flow Rate {m3/s},Volume Flow Rate/Floor Area {m3/s-m2},Volume Flow Rate/person Area {m3/s-person},ACH - Air Changes per Hour,Fan Type {Exhaust;Intake;Natural},Fan Pressure Rise {Pa},Fan Efficiency {},Equation A - Constant Term Coefficient {},Equation B - Temperature Term Coefficient {1/C},Equation C - Velocity Term Coefficient {s/m},Equation D - Velocity Squared Term Coefficient {s2/m2},Minimum Indoor Temperature{C}/Schedule,Maximum Indoor Temperature{C}/Schedule,Delta Temperature{C}/Schedule,Minimum Outdoor Temperature{C}/Schedule,Maximum Outdoor Temperature{C}/Schedule,Maximum WindSpeed{m/s}
,1,VENTILATION_UNIT1,ALWAYS_AVAIL,LIVING_UNIT1,220.82,3.0,0.000,0.000,0.000,0.000,Exhaust,0.000,0.6,1.000,0.000,0.000,0.000,-100.00,100.00,-100.00,-100.00,100.00,40.00


AirFlow Model

,,Simple
,1,Simple


RoomAir Model

,,Zone Name,Mixing/Mundt/UCSDDV/UCSDCV/UCSDUFI/UCSDUFE/User Defined
,1,LIVING_UNIT1,Mixing/Well-Stirred
,2,ATTIC_UNIT1,Mixing/Well-Stirred
,3,CRAWLSPACE_UNIT1,Mixing/Well-Stirred


AirflowNetwork Model:Control

,,No Multizone or Distribution/Multizone with Distribution/Multizone without Distribution/Multizone with Distribution only during Fan Operation
,1,MultizoneWithDistribution


AirflowNetwork Model:Equivalent Rectangle Surface

,,Name,Equivalent Height {m},Equivalent Width {m} AirflowNetwork Model:Equivalent Rectangle
,1,ROOF_RIGHT_UNIT1,1.36,4.55
,2,ROOF_LEFT_UNIT1,1.36,4.55


AirflowNetwork Model:Wind Direction

,,Wind Direction #1 to n (degree)
,1,0.0


AirflowNetwork Model:Wind Pressure Coefficients

,,Name,Wind Pressure Coefficients #1 to n (dimensionless)
,1,!WPCTABLE1,0.60
,2,!WPCTABLE2,-0.36
,3,!WPCTABLE3,-0.51
,4,!WPCTABLE4,-0.36
,5,!WPCTABLE5,-0.73


Zone Volume Capacitance Multiplier

,,Sensible Heat Capacity Multiplier,Moisture Capacity Multiplier,Carbon Dioxide Capacity Multiplier,Generic Contaminant Capacity Multiplier
,1,1.000,1.000,1.000,1.000


Load Timesteps in Zone Design Calculation Averaging Window

,,Value
,1,1


Heating Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Cooling Sizing Factor Information

,,Sizing Factor ID,Value
,1,Global,1.0000


Zone Sizing Information

,,Zone Name,Load Type,Calc Des Load {W},User Des Load {W},Calc Des Air Flow Rate {m3/s},User Des Air Flow Rate {m3/s},Design Day Name,Date/Time of Peak,Temperature at Peak {C},Humidity Ratio at Peak {kgWater/kgDryAir},Floor Area {m2},# Occupants,Calc Outdoor Air Flow Rate {m3/s},Calc DOAS Heat Addition Rate {W}
,1,LIVING_UNIT1,Cooling,4548.02157,4548.02157,0.37443,0.37443,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,28.36400,1.27228E-002,220.81784,3.00000,2.83168E-002,0.00000
,2,LIVING_UNIT1,Heating,9274.81220,9274.81220,0.27254,0.27254,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00,-32.70000,1.83376E-004,220.81784,3.00000,2.83168E-002,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [m3/s],User Des Air Flow Rate [m3/s],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1,Cooling,Sensible,4697.54,0.37443,0.37443,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1,Heating,Sensible,10993.48,0.27254,0.27254,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 14:00:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Supply Air Flow Rate [m3/s],0.02832
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1,User-Specified Exhaust Air Flow Rate [m3/s],0.02832
,3,Fan:OnOff,OASUPPLYFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],0.02832
,4,Fan:OnOff,OAEXHAUSTFAN_UNIT1,User-Specified Maximum Flow Rate [m3/s],0.02832
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1,User-Specified Nominal Supply Air Flow Rate [m3/s],0.02832
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1,Design Size Maximum Air Flow Rate [m3/s],0.37443
,7,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],0.37443
,8,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Minimum Heating Flow Rates [m3/s],0.37443
,9,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Sum of Air Terminal Maximum Flow Rates [m3/s],0.37443
,10,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Heating Design Air Flow Rate [m3/s],0.37443
,11,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Cooling Design Air Flow Rate [m3/s],0.37443
,12,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Adjusted Main Design Air Flow Rate [m3/s],0.37443
,13,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,User Heating Air Flow Ratio [],1.00000
,14,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Calculated Heating Air Flow Ratio [],1.00000
,15,AirLoopHVAC,CENTRAL SYSTEM_UNIT1,Design Supply Air Flow Rate [m3/s],0.37443
,16,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Rated Air Flow Rate [m3/s],0.37443
,17,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Total Cooling Capacity [W],6198.06952
,18,Coil:Cooling:DX:SingleSpeed,DX COOLING COIL_UNIT1,Design Size Gross Rated Sensible Heat Ratio,0.80066
,19,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate [m3/s],0.37443
,20,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Heating Operation [m3/s],0.37443
,21,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Supply Air Flow Rate During Cooling Operation [m3/s],0.37443
,22,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Nominal Heating Capacity [W],10993.48387
,23,AirLoopHVAC:UnitaryHeatCool,ACANDF_UNIT1,Nominal Cooling Capacity [W],6198.06952
