
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  3.31E-006  4.748E-006 4.535E-009 6.505E-009
l3027671                 6.864     0.9534          0          0         0         0
m1108423                 6.863     0.9533          0          0         0         0
n1136665                 7.457      1.036          0          0         0         0
l2710532                 7.263      1.009          0          0         0         0
l2785526                 7.068     0.9817          0          0         0         0
l2857591                 7.305      1.015          0          0         0         0
l2841630                 7.429      1.032          0          0         0         0
l3312692                 7.142     0.9919          0          0         0         0
m1069495                 7.359      1.022     0.1628      2.212    0.2509     3.409
l3179678                 7.199          1    0.08172      1.135     0.108     1.501
m1149225                 7.197     0.9997          0          0         0         0
r42246                   7.308      1.015     0.1662      2.274    0.2833     3.876
l3632979                 7.223      1.003          0          0         0         0
p841985                  7.203      1.001          0          0         0         0
l3104796                 7.456      1.036          0          0         0         0
n1141476                 7.168     0.9957          0          0         0         0
l2785519                 7.378      1.025          0          0         0         0
l3104122                 7.377      1.025          0          0         0         0
l3197618                 7.315      1.016          0          0         0         0
e192258                  7.416       1.03    0.04902      0.661   0.05792     0.781
d5534970-1_int           7.323      1.017     0.2048      2.797     0.253     3.455
l2841633                 7.329      1.018     0.2069      2.824    0.2504     3.416
l3254206                 7.261      1.009          0          0         0         0
n1145954                 7.255      1.008    0.07734      1.066    0.1154      1.59
p827580                  7.255      1.008    0.07734      1.066    0.1154      1.59
l2955074                 7.271       1.01    0.07992      1.099    0.1126     1.549
l2970845                 7.163     0.9949          0          0         0         0
l3010585                 7.299      1.014          0          0         0         0
l2861219                 7.206      1.001          0          0         0         0
l3104135                 7.167     0.9954          0          0         0         0
l3254203                 7.137     0.9913          0          0         0         0
l2954352                 7.429      1.032          0          0         0         0
m1047400                 7.164     0.9951          0          0         0         0
l2842379                 7.168     0.9956          0          0         0         0
l2916617                 7.239      1.006          0          0         0         0
n1136670                 7.419       1.03     0.2336      3.149    0.2295     3.093
l2766727                 7.058     0.9803          0          0         0         0
l2727019                  7.26      1.008          0          0         0         0
l2801909                 7.544      1.048    0.02176     0.2885   0.01015    0.1345
m1047831                 7.134     0.9909          0          0         0         0
l2748131                 7.174     0.9964          0          0         0         0
l2729427                 7.171     0.9961          0          0         0         0
l2766717                 7.415       1.03          0          0         0         0
l2879064                 7.392      1.027          0          0         0         0
l3195318                 7.414       1.03          0          0         0         0
l3254204                 7.359      1.022          0          0         0         0
l2973148                 7.305      1.015          0          0         0         0
l2801902                 7.246      1.006          0          0         0         0
l2748146                 7.382      1.025          0          0         0         0
n1139549                 7.194     0.9993          0          0         0         0
n1138593                 7.337      1.019          0          0         0         0
l3197624                 7.137     0.9914          0          0         0         0
m1069558                 7.275       1.01          0          0         0         0
l3197654                 7.145     0.9924          0          0         0         0
l2710505                 7.134     0.9909          0          0         0         0
l2879065                 7.192     0.9989          0          0         0         0
m1166358                 7.489       1.04          0          0         0         0
l2898522                 7.259      1.008          0          0         0         0
l2992556                 7.451      1.035          0          0         0         0
196-35813                7.375      1.024     0.2251      3.053     0.228     3.091
l3064514                 7.372      1.024          0          0         0         0
l3141402                 7.252      1.007          0          0         0         0
l2859391                 7.298      1.014          0          0         0         0
l2860489                  7.16     0.9945          0          0         0         0
m1026989                 7.162     0.9947          0          0         0         0
m1209752                 7.376      1.025          0          0         0         0
l2710514                 7.188     0.9984          0          0         0         0
l2726975                 7.128     0.9901          0          0         0         0
l3649306                 7.368      1.023          0          0         0         0
l2767407                 7.186     0.9981          0          0         0         0
l2730107                 7.491       1.04          0          0         0         0
m4113347                 7.272       1.01     0.2419      3.327    0.1765     2.427
l3216339                 6.977     0.9691          0          0         0         0
d5472341-1_int           7.182     0.9976          0          0         0         0
f739842                  7.182     0.9976          0          0         0         0
l2897792                 7.177     0.9969          0          0         0         0
m1026800                 7.354      1.021     0.2169      2.949    0.2378     3.234
m1026797                  7.35      1.021     0.2155      2.932    0.2394     3.258
l2729407                   7.2          1          0          0         0         0
l3342743                 7.405      1.029          0          0         0         0
l3122818                 7.369      1.024          0          0         0         0
m1047430                 7.184     0.9978          0          0         0         0
l3048203                  7.17     0.9958          0          0         0         0
l2936276                  7.38      1.025          0          0         0         0
l2860499                 7.276      1.011          0          0         0         0
p827564                  7.272       1.01          0          0         0         0
l3030205                 7.489       1.04          0          0         0         0
l3008248                 7.152     0.9934          0          0         0         0
l2804250                  7.34       1.02          0          0         0         0
l2954354                 7.226      1.004          0          0         0         0
l2673321                 7.226      1.004          0          0         0         0
l3197634                 7.345       1.02          0          0         0         0
l3141389                 7.315      1.016          0          0         0         0
l2935559                  7.15     0.9932          0          0         0         0
p895087                  7.305      1.015          0          0         0         0
l3254217                 7.356      1.022     0.2178      2.962    0.2365     3.215
l3101782                 6.763     0.9393          0          0         0         0
l2745799                  7.38      1.025          0          0         0         0
l3082983                 7.253      1.007          0          0         0         0
l2691966                 7.264      1.009          0          0         0         0
n1136368                 7.177     0.9969          0          0         0         0
l3197642                 7.254      1.008          0          0         0         0
l2973157                 7.173     0.9964          0          0         0         0
l2935550                 7.305      1.015          0          0         0         0
d5865224-1_int           7.183     0.9977          0          0         0         0
l3066821                 7.221      1.003          0          0         0         0
m1009691                 7.221      1.003          0          0         0         0
l3178975                 7.178      0.997          0          0         0         0
m1069518                 7.332      1.018     0.1665      2.271    0.2748     3.748
l2916618                 7.227      1.004          0          0         0         0
l2710515                 7.302      1.014          0          0         0         0
l3235258                 7.317      1.016     0.2023      2.765    0.2561     3.501
l3141395                 7.299      1.014          0          0         0         0
n1136997                 7.418       1.03          0          0         0         0
l3104123                 7.418       1.03          0          0         0         0
190-7361                 7.468      1.037    0.04737     0.6343   0.03517     0.471
l3645812                 7.406      1.029          0          0         0         0
228-1353934-4_int        7.406      1.029          0          0         0         0
l3254214                 7.132     0.9906          0          0         0         0
d5686080-1_int           7.255      1.008    0.07734      1.066    0.1154      1.59
l2766749                   7.3      1.014     0.2372      3.249    0.1934     2.649
l2692660                 7.171     0.9961          0          0         0         0
l2955076                 7.171     0.9961          0          0         0         0
m1125979                 7.456      1.036          0          0         0         0
l3160114                 7.223      1.003          0          0         0         0
l3235245                 7.322      1.017          0          0         0         0
m1026876                 7.314      1.016      0.229      3.131     0.268     3.664
l2785535                 7.223      1.003          0          0         0         0
l2973150                 7.173     0.9963          0          0         0         0
l3160113                 7.228      1.004          0          0         0         0
l2710518                 7.218      1.003          0          0         0         0
l3195310                  7.15     0.9932          0          0         0         0
l3142098                 7.182     0.9976          0          0         0         0
m1026784                 7.326      1.018          0          0         0         0
l2897771                 7.163     0.9949          0          0         0         0
l2917255                 7.456      1.036          0          0         0         0
l3254215                  7.39      1.026          0          0         0         0
l2989571                 7.143     0.9922          0          0         0         0
l3179699                 7.418       1.03          0          0         0         0
l3029507                 7.057     0.9803          0          0         0         0
l2748124                 7.124     0.9895          0          0         0         0
d5958866-1_int           7.258      1.008    0.07791      1.073    0.1044     1.439
l2861218                 7.261      1.008    0.07835      1.079    0.1065     1.466
l0247162                 7.182     0.9976          0          0         0         0
l2935552                 7.379      1.025          0          0         0         0
l3216350                 7.219      1.003          0          0         0         0
l3197660                 7.155     0.9938          0          0         0         0
m1026880                 7.295      1.013          0          0         0         0
l2822860                 7.136     0.9912          0          0         0         0
l3101787                 7.156     0.9939          0          0         0         0
l3027132                 7.155     0.9939          0          0         0         0
l3179673                 7.473      1.038          0          0         0         0
l2879092                 7.249      1.007          0          0         0         0
l2803199                 7.119     0.9888     0.1392      1.955     0.262      3.68
l3254208                 7.306      1.015          0          0         0         0
m1027014                 7.298      1.014          0          0         0         0
m1047433                 7.186     0.9981          0          0         0         0
l2991905                 7.334      1.019          0          0         0         0
l2935560                 7.265      1.009          0          0         0         0
l3085400                  7.39      1.026          0          0         0         0
l2764403                 7.122     0.9892          0          0         0         0
m1108535                 7.442      1.034     0.1501      2.017    0.1775     2.385
l2785521                 7.408      1.029          0          0         0         0
l3216988                 7.102     0.9864          0          0         0         0
l3649305                 7.366      1.023          0          0         0         0
l2983432                 7.389      1.026          0          0         0         0
l3315860                 7.259      1.008          0          0         0         0
m1125966                 7.103     0.9865          0          0         0         0
l2729423                 7.517      1.044          0          0         0         0
d6140776-1_int           7.297      1.014          0          0         0         0
l2673307                 7.263      1.009          0          0         0         0
l2685809                 7.457      1.036          0          0         0         0
l3254209                 7.323      1.017          0          0         0         0
l2860477                 7.315      1.016          0          0         0         0
p827548                  7.177     0.9969          0          0         0         0
l3048946                 7.485       1.04          0          0         0         0
l2839331                 7.178      0.997          0          0         0         0
l2973180                 7.126     0.9898          0          0         0         0
l3066806                 7.304      1.015          0          0         0         0
l2785529                  7.39      1.026          0          0         0         0
l3177894                 7.142      0.992          0          0         0         0
l2731712                 7.307      1.015          0          0         0         0
l2917310                 7.182     0.9976          0          0         0         0
d5682346-3_int           7.347       1.02     0.1657      2.256    0.2631     3.582
l3085394                 7.346       1.02          0          0         0         0
l3236004                 7.457      1.036          0          0         0         0
l2879066                 7.169     0.9957          0          0         0         0
l3048214                  7.15     0.9932          0          0         0         0
l3120504                 7.145     0.9924          0          0         0         0
p827537                  7.229      1.004          0          0         0         0
228-979371-2_int         7.266      1.009          0          0         0         0
l2785543                 7.307      1.015          0          0         0         0
m1047837                 7.137     0.9913          0          0         0         0
l2916602                 7.305      1.015          0          0         0         0
d6140778-1_int           7.063      0.981          0          0         0         0
l2766748                 7.295      1.013          0          0         0         0
regxfmr_190-8581         7.066     0.9814     0.1618      2.289    0.3236     4.579
l3104129                 7.535      1.047          0          0         0         0
m1027110                 7.148     0.9929          0          0         0         0
l3047058                 7.217      1.002          0          0         0         0
l2801949                 7.307      1.015          0          0         0         0
l2710525                 7.363      1.023          0          0         0         0
l3197640                 7.376      1.025          0          0         0         0
l3010561                 7.349      1.021          0          0         0         0
l3141390                 6.986     0.9703          0          0         0         0
d5746546-1_int           7.262      1.009          0          0         0         0
d5956499-2_int           7.299      1.014     0.2374      3.253    0.1931     2.646
l2823592_cap             7.502      1.042    0.02959     0.3944   0.01959    0.2611
q16642_cap               7.308      1.015     0.1662      2.274    0.2831     3.873
q16483_cap               7.309      1.015    0.07744       1.06    0.1133      1.55
hvmv_sub_hsb             69.62      1.049    0.04859     0.0698 4.535E-009 6.514E-009
regxfmr_hvmv_sub_lsb     7.472      1.038    0.03191      0.427    0.0158    0.2115
x2804253a               0.1223      1.018          0          0         0         0
x3254213b               0.1208      1.006          0          0         0         0
x3216339b               0.1152     0.9595          0          0         0         0
x2954355a               0.1199     0.9986          0          0         0         0
x2861197c               0.1235      1.028          0          0         0         0
x2842379a               0.1189     0.9903          0          0         0         0
x2841636b               0.1168     0.9728          0          0         0         0
x3047289a               0.1166      0.971          0          0         0         0
x3047289b               0.1161     0.9668          0          0         0         0
x3047289c               0.1212      1.009          0          0         0         0
x3085399c               0.1223      1.018          0          0         0         0
x3085391b               0.1193     0.9934          0          0         0         0
x2897778a               0.1186     0.9874          0          0         0         0
x3197647a                0.121      1.008          0          0         0         0
x2936275b               0.1222      1.017          0          0         0         0
x2729408b               0.1219      1.015          0          0         0         0
x2673310a               0.1221      1.016          0          0         0         0
x3048212a               0.1213       1.01          0          0         0         0
x3104133a               0.1196     0.9963          0          0         0         0
x2879087a               0.1212      1.009          0          0         0         0
x2710510c               0.1233      1.027          0          0         0         0
x3122810b               0.1179     0.9822          0          0         0         0
x2954352c               0.1229      1.023          0          0         0         0
x2729411a               0.1206      1.004          0          0         0         0
x3178971a                0.122      1.016          0          0         0         0
x3254234b               0.1203      1.002          0          0         0         0
x_293471a               0.1195     0.9949          0          0         0         0
x_293471b               0.1186     0.9878          0          0         0         0
x_293471c               0.1226      1.021          0          0         0         0
x2860482a               0.1219      1.015          0          0         0         0
x2763811c               0.1201     0.9999          0          0         0         0
x3251799a               0.1167     0.9722          0          0         0         0
x2898526c               0.1227      1.022          0          0         0         0
x2897780b               0.1193     0.9932          0          0         0         0
x3027124c               0.1221      1.017          0          0         0         0
x2954361b               0.1198     0.9979          0          0         0         0
x2745811c               0.1221      1.017          0          0         0         0
x2841633a               0.1211      1.008          0          0         0         0
x2917359a               0.1185     0.9864          0          0         0         0
x2748158a               0.1196     0.9962          0          0         0         0
x2955047a                0.112      0.933          0          0         0         0
x3122837c               0.1219      1.015          0          0         0         0
x2804269b               0.1196     0.9957          0          0         0         0
x3157708c                0.122      1.016          0          0         0         0
x3179682c               0.1227      1.022          0          0         0         0
x2822877b                 0.12     0.9996          0          0         0         0
x3141393c               0.1241      1.034          0          0         0         0
x2897801a               0.1214      1.011          0          0         0         0
x3217056a               0.1233      1.027          0          0         0         0
x2936270a               0.1234      1.028          0          0         0         0
x3235249a               0.1214      1.011          0          0         0         0
x3217052c               0.1234      1.027          0          0         0         0
x2916598a               0.1213       1.01          0          0         0         0
x3048206a               0.1219      1.015          0          0         0         0
x3141402c               0.1198     0.9975          0          0         0         0
x3235256a               0.1211      1.008          0          0         0         0
x3178973a               0.1221      1.017          0          0         0         0
x3197654a               0.1186     0.9876          0          0         0         0
x3066809c                0.121      1.008          0          0         0         0
x2766742b               0.1206      1.005          0          0         0         0
x2991908a               0.1218      1.015          0          0         0         0
x3065750b               0.1178     0.9808          0          0         0         0
x3085401a               0.1238      1.031          0          0         0         0
x2729413a               0.1215      1.012          0          0         0         0
x3254915b               0.1192     0.9928          0          0         0         0
x2748131b               0.1191     0.9915          0          0         0         0
x3066810c               0.1211      1.008          0          0         0         0
x2973146b               0.1198     0.9973          0          0         0         0
x2973180b               0.1183     0.9848          0          0         0         0
x2973167b               0.1225       1.02          0          0         0         0
x2841621c               0.1232      1.026          0          0         0         0
x3123509c               0.1245      1.037          0          0         0         0
x2841627a               0.1187     0.9884          0          0         0         0
x3235250b               0.1189     0.9902          0          0         0         0
x3728037a               0.1221      1.017          0          0         0         0
x3142078b               0.1228      1.023          0          0         0         0
x2879066b                0.119     0.9909          0          0         0         0
x3235254c               0.1226      1.021          0          0         0         0
x2917330a               0.1184      0.986          0          0         0         0
x2914323b               0.1207      1.005          0          0         0         0
x3197640c               0.1218      1.015          0          0         0         0
x3179673c                0.124      1.032          0          0         0         0
x3048228c               0.1212      1.009          0          0         0         0
x3104126c               0.1225       1.02          0          0         0         0
x2990098a               0.1136      0.946          0          0         0         0
x2879067a                0.122      1.016          0          0         0         0
x3176656a               0.1224       1.02          0          0         0         0
x2710532c               0.1202      1.001          0          0         0         0
x3160115b               0.1202      1.001          0          0         0         0
x3103822c               0.1229      1.023          0          0         0         0
x2805034a               0.1194     0.9943          0          0         0         0
x3157167a               0.1217      1.013          0          0         0         0
x2916620a               0.1192     0.9929          0          0         0         0
x2916620b               0.1208      1.006          0          0         0         0
x2916620c               0.1245      1.037          0          0         0         0
x3027132a               0.1186     0.9872          0          0         0         0
x2822862c               0.1209      1.007          0          0         0         0
x2937757c               0.1229      1.023          0          0         0         0
x2860483b               0.1189       0.99          0          0         0         0
x3048210a               0.1184     0.9861          0          0         0         0
x3312692a               0.1183     0.9855          0          0         0         0
x3251854a               0.1194     0.9943          0          0         0         0
x3085398b               0.1216      1.012          0          0         0         0
x3254207a               0.1215      1.012          0          0         0         0
x2729424a               0.1196     0.9957          0          0         0         0
x3066816a               0.1193     0.9936          0          0         0         0
x2785518c               0.1227      1.022          0          0         0         0
x3029503c               0.1228      1.023          0          0         0         0
x2748140a               0.1198     0.9972          0          0         0         0
x2891575c                0.122      1.016          0          0         0         0
x2842329c               0.1235      1.028          0          0         0         0
x3254212b               0.1198      0.998          0          0         0         0
x3198348a               0.1182     0.9843          0          0         0         0
x3178979c               0.1238      1.031          0          0         0         0
x2879054a               0.1163     0.9686          0          0         0         0
x3085388b               0.1159      0.965          0          0         0         0
x2991914c               0.1217      1.014          0          0         0         0
x2785534b               0.1208      1.006          0          0         0         0
x3122835b               0.1203      1.001          0          0         0         0
x3085395a               0.1215      1.012          0          0         0         0
x2879064a               0.1224       1.02          0          0         0         0
x3066814b               0.1216      1.013          0          0         0         0
x2821087a               0.1135     0.9452          0          0         0         0
x2860479b               0.1201          1          0          0         0         0
x3728042a                0.122      1.016          0          0         0         0
x2935557a               0.1207      1.005          0          0         0         0
x2822864c               0.1213       1.01          0          0         0         0
x3235247a               0.1199     0.9981          0          0         0         0
x3251807a               0.1185     0.9872          0          0         0         0
x2804282c               0.1204      1.002          0          0         0         0
x2935560c               0.1202      1.001          0          0         0         0
x3104145b               0.1202      1.001          0          0         0         0
x3086078a               0.1236       1.03          0          0         0         0
x2860477a               0.1213       1.01          0          0         0         0
x3645811c               0.1228      1.023          0          0         0         0
x3102793b               0.1201          1          0          0         0         0
x2991910b               0.1191     0.9914          0          0         0         0
x2710511a               0.1225       1.02          0          0         0         0
x2860486c               0.1225       1.02          0          0         0         0
x2935551c                 0.12     0.9991          0          0         0         0
x2729409b               0.1202      1.001          0          0         0         0
x2973833b               0.1207      1.005          0          0         0         0
x2897769c               0.1211      1.009          0          0         0         0
x3216368c               0.1201          1          0          0         0         0
x2860490a               0.1211      1.008          0          0         0         0
x2861158c               0.1221      1.017          0          0         0         0
x3141399c               0.1222      1.018          0          0         0         0
x3122816b               0.1217      1.013          0          0         0         0
x2992556c               0.1235      1.028          0          0         0         0
x2897779c               0.1226      1.021          0          0         0         0
x2970811a               0.1187     0.9881          0          0         0         0
x2991933c               0.1218      1.015          0          0         0         0
x2729428a               0.1194      0.994          0          0         0         0
x3254216a               0.1184     0.9861          0          0         0         0
x2897807b               0.1201          1          0          0         0         0
x2898522a               0.1203      1.002          0          0         0         0
x3048230c               0.1224       1.02          0          0         0         0
x3195327a               0.1187     0.9881          0          0         0         0
x3047058a               0.1195     0.9953          0          0         0         0
x2673313b               0.1213       1.01          0          0         0         0
x3649302a               0.1218      1.014          0          0         0         0
x3729297a               0.1223      1.018          0          0         0         0
x2858163a               0.1198     0.9974          0          0         0         0
x3214112b               0.1181     0.9834          0          0         0         0
x2685805a               0.1203      1.002          0          0         0         0
x2991912a               0.1165     0.9699          0          0         0         0
x3140238a               0.1189     0.9903          0          0         0         0
x3066830b               0.1188      0.989          0          0         0         0
x3160878c               0.1225       1.02          0          0         0         0
x2916609c               0.1231      1.025          0          0         0         0
x2876814a               0.1205      1.003          0          0         0         0
x3197646b               0.1225       1.02          0          0         0         0
x2973151a               0.1222      1.017          0          0         0         0
x3197627c               0.1205      1.003          0          0         0         0
x2764412a               0.1189     0.9901          0          0         0         0
x2766716c                0.121      1.007          0          0         0         0
x2991917b               0.1169     0.9738          0          0         0         0
x3254229b               0.1202      1.001          0          0         0         0
x2935556b               0.1216      1.012          0          0         0         0
x3197660b               0.1185     0.9865          0          0         0         0
x2989565a               0.1186     0.9879          0          0         0         0
x3645809c               0.1225       1.02          0          0         0         0
x3086075b               0.1223      1.019          0          0         0         0
x3122824a               0.1185     0.9868          0          0         0         0
x3216338b               0.1197     0.9971          0          0         0         0
x2729405b               0.1227      1.021          0          0         0         0
x2823545a               0.1122      0.934          0          0         0         0
x2916610b               0.1227      1.022          0          0         0         0
x3177665a               0.1222      1.018          0          0         0         0
x2803199a               0.1138     0.9473          0          0         0         0
x2803199b               0.1163     0.9686          0          0         0         0
x2803199c               0.1234      1.028          0          0         0         0
x2691952a               0.1196     0.9959          0          0         0         0
x2748144a               0.1195     0.9951          0          0         0         0
x3029504b               0.1183     0.9852          0          0         0         0
x3197635b               0.1189     0.9897          0          0         0         0
x2724120c               0.1228      1.023          0          0         0         0
x3235244a               0.1213       1.01          0          0         0         0
x2804254a               0.1216      1.012          0          0         0         0
x2820531b               0.1229      1.023          0          0         0         0
x3254214b               0.1181     0.9833          0          0         0         0
x2691966b               0.1201          1          0          0         0         0
x3122822a               0.1198     0.9973          0          0         0         0
x3197639a               0.1195     0.9954          0          0         0         0
x3120503a               0.1183     0.9848          0          0         0         0
x3216349b               0.1177     0.9803          0          0         0         0
x3027670b               0.1163     0.9685          0          0         0         0
x3085392c               0.1205      1.003          0          0         0         0
x3010556a               0.1223      1.019          0          0         0         0
x3232902a               0.1132     0.9425          0          0         0         0
x3101782a               0.1121     0.9332          0          0         0         0
x2766715b               0.1202      1.001          0          0         0         0
x2970804c               0.1217      1.013          0          0         0         0
x3178975b               0.1185     0.9869          0          0         0         0
x2841648a               0.1189     0.9905          0          0         0         0
x3029497c               0.1204      1.003          0          0         0         0
x3029520b               0.1182     0.9845          0          0         0         0
x2766744b               0.1211      1.008          0          0         0         0
x3029518b               0.1206      1.004          0          0         0         0
x2936214a               0.1128     0.9392          0          0         0         0
x2954346b               0.1178     0.9808          0          0         0         0
x2879061b               0.1192     0.9923          0          0         0         0
x3141394b               0.1231      1.025          0          0         0         0
x3142098b               0.1192     0.9926          0          0         0         0
x3645812c               0.1225       1.02          0          0         0         0
x2916627a               0.1221      1.017          0          0         0         0
x3066815c                0.123      1.024          0          0         0         0
x3179678b               0.1175     0.9787          0          0         0         0
x3254237a                0.114     0.9489          0          0         0         0
x2710512b               0.1182     0.9843          0          0         0         0
x3104125b               0.1155      0.962          0          0         0         0
x3010559a               0.1217      1.013          0          0         0         0
x2897790c               0.1246      1.038          0          0         0         0
x2711225c               0.1236      1.029          0          0         0         0
x2766729a                 0.12     0.9997          0          0         0         0
x3235275b               0.1175     0.9783          0          0         0         0
x3728038a                0.122      1.016          0          0         0         0
x3048222c               0.1217      1.013          0          0         0         0
x2841630c               0.1228      1.023          0          0         0         0
x2991907a               0.1223      1.019          0          0         0         0
x2973144c               0.1226      1.021          0          0         0         0
x3178976a               0.1197     0.9971          0          0         0         0
x3159448a               0.1215      1.011          0          0         0         0
x3231255c               0.1244      1.036          0          0         0         0
x3197626c               0.1204      1.003          0          0         0         0
x2802480b               0.1168     0.9729          0          0         0         0
x2823544a               0.1121     0.9336          0          0         0         0
x2841624b               0.1201          1          0          0         0         0
x3101194c               0.1197     0.9967          0          0         0         0
x2841619c               0.1199     0.9985          0          0         0         0
x2861218c               0.1233      1.027          0          0         0         0
x2710513b               0.1181     0.9835          0          0         0         0
x2879062c                 0.12     0.9993          0          0         0         0
x2879767b               0.1188     0.9895          0          0         0         0
x2766725c               0.1212      1.009          0          0         0         0
x3141396c                0.121      1.007          0          0         0         0
x2879752b               0.1225       1.02          0          0         0         0
x2991940c               0.1211      1.009          0          0         0         0
x2673321a               0.1197     0.9966          0          0         0         0
x2673326b               0.1201          1          0          0         0         0
x2925506c                0.121      1.008          0          0         0         0
x2730106c               0.1237       1.03          0          0         0         0
x2820556a                0.119     0.9906          0          0         0         0
x3235248c               0.1212      1.009          0          0         0         0
x2822871b               0.1223      1.019          0          0         0         0
x2955076a               0.1185     0.9871          0          0         0         0
x2955005b               0.1179     0.9814          0          0         0         0
x3254208c               0.1206      1.005          0          0         0         0
x3178978a               0.1193     0.9938          0          0         0         0
x3235253a               0.1223      1.018          0          0         0         0
x3235241c                0.121      1.007          0          0         0         0
x3197636b                0.119     0.9907          0          0         0         0
x3066811b               0.1191     0.9914          0          0         0         0
x3632979a               0.1196      0.996          0          0         0         0
x3086074c               0.1234      1.028          0          0         0         0
x2674051a               0.1189     0.9904          0          0         0         0
x3178981b               0.1197     0.9966          0          0         0         0
x3046854b               0.1181     0.9836          0          0         0         0
x2860506b               0.1207      1.005          0          0         0         0
x3048966c               0.1237       1.03          0          0         0         0
x2822872b               0.1224      1.019          0          0         0         0
x3214071c               0.1237       1.03          0          0         0         0
x2786273b               0.1231      1.025          0          0         0         0
x3104853c               0.1232      1.026          0          0         0         0
x2973158c               0.1238      1.031          0          0         0         0
x3216123a               0.1225       1.02          0          0         0         0
x2860485b                0.121      1.008          0          0         0         0
x3235946a               0.1118      0.931          0          0         0         0
x2973148a                0.121      1.007          0          0         0         0
x3066829c               0.1208      1.006          0          0         0         0
x3085393c               0.1208      1.006          0          0         0         0
x2673322b               0.1209      1.007          0          0         0         0
x3263051c               0.1227      1.022          0          0         0         0
x2860500b                0.119     0.9908          0          0         0         0
x3048211a               0.1201          1          0          0         0         0
x3728041a               0.1219      1.015          0          0         0         0
x3048199b               0.1182     0.9841          0          0         0         0
x3104136b               0.1223      1.018          0          0         0         0
x2916599a               0.1213       1.01          0          0         0         0
x3104134c               0.1227      1.022          0          0         0         0
x2954344c               0.1213       1.01          0          0         0         0
x3142099b               0.1219      1.015          0          0         0         0
x2710515c               0.1209      1.007          0          0         0         0
x3011298c               0.1228      1.023          0          0         0         0
x3066812a               0.1215      1.012          0          0         0         0
x3141403a               0.1209      1.006          0          0         0         0
x3120484c               0.1222      1.018          0          0         0         0
x2860504a               0.1195     0.9955          0          0         0         0
x2766750c               0.1225       1.02          0          0         0         0
x2879077b               0.1179     0.9819          0          0         0         0
x3159037b               0.1177     0.9797          0          0         0         0
x3160793c               0.1237       1.03          0          0         0         0
x3233412a               0.1135     0.9455          0          0         0         0
x2841620b               0.1193     0.9935          0          0         0         0
x3253995c               0.1232      1.026          0          0         0         0
x2936279c               0.1226      1.021          0          0         0         0
x2804277c               0.1242      1.034          0          0         0         0
x2860489a               0.1183     0.9853          0          0         0         0
x2690868c               0.1202      1.001          0          0         0         0
x3176661c               0.1216      1.013          0          0         0         0
x2766746c                0.121      1.007          0          0         0         0
x3189189b               0.1223      1.018          0          0         0         0
x3048196b               0.1231      1.025          0          0         0         0
x2879074a                0.119     0.9909          0          0         0         0
